Source,Treatment,Block,Row,PosInRow,Tag,ID,Surv_2022,Survival_20230615,Flowering_20230615,Notes_20230615,Survival_20230620,Flowering_20230620,Notes_20230620,Survival_20230629,Flowering_20230629,Notes_20230629,Survival_20230705,Flowering_20230705,Notes_20230705,Survival_20230728,Flowering_20230728,SentForSequencing_20230803,Survival_20230801,Flowering_20230801,Notes_20230801,Survival_20230927,Flowering_20230927,Height_20230927,Notes_20230927,ExcludePhenoDueToInconsistData,ExcludeSurvDueToInconsistData,ExcludeSzDueToUncertainty,Notes.x,SOURCE_CODE,HexCode_Indv,Long,Lat,SdZone,Notes.y,Tmin_Class,AHM_class,seed_zone,New_label,PopAbbrev,SdZnCol,SdZnAbbrev,PopCol,PopOrder,ARFR22$ExcludeBcNotReplaced,ARFR24$ExcludeBcHarvest
ARFR-NM930N-66-11,black,1,1,12,NA,12,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,56.5,NA,NA,NA,NA,NA,ARFR4-SOS-NM930N-66-11,#F46D43,-107.2045028,36.76818611,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,NM.1,#66e566,"semi-humid, cool",#F46D43,C,NA,NA
ARFR-WY050-49-FREMONT-12,black,1,1,13,NA,13,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,47,NA,NA,NA,NA,NA,ARFR4-SOS-WY050-49-FREMONT-12,#5E4FA2,-109.34775,43.42663611,5 - 10 Deg. F. / 6 - 12,,5 - 10 Deg. F.,12-Jun,5 - 10 Deg. F. / 6 - 12,5 - 10 / semi-arid,WY.3,#ffb90f,"semi-arid, cold",#5E4FA2,K,NA,NA
ARFR-AZ930-423-NAVAJO-18,black,1,1,14,NA,14,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,62.9,NA,NA,NA,NA,NA,ARFR4-SOS-AZ930-423-NAVAJO-18,#9E0142,-110.431,36.45877,15 - 20 Deg. F. / 6 - 12,SdZones downloaded 20230823,15 - 20 Deg. F.,12-Jun,15 - 20 Deg. F. / 6 - 12,15 - 20 / semi-arid,AZ.1,#ee5c42,"semi-arid, warm",#9E0142,A,NA,NA
ARFR-WY050-151-FREMONT-16,black,1,1,15,144,15,1,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,37,NA,NA,NA,NA,NA,ARFR4-SOS-WY050-151-FREMONT-16,#3288BD,-108.1704472,42.47886111,10 - 15 Deg. F. / 6 - 12,,10 - 15 Deg. F.,12-Jun,10 - 15 Deg. F. / 6 - 12,10 - 15 / semi-arid,WY.2,#cd8500,"semi-arid, cool",#3288BD,J,NA,NA
ARFR-WY040-71-10,black,1,1,16,NA,16,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,47.7,NA,NA,NA,NA,NA,ARFR4-SOS-WY040-71-10,#66C2A5,-109.2433156,41.13271889,5 - 10 Deg. F. / 3 - 6,,5 - 10 Deg. F.,6-Mar,5 - 10 Deg. F. / 3 - 6,5 - 10 / semi-humid,WY.1,#a5c2f1,"semi-humid, cold",#66C2A5,I,NA,NA
ARFR-CO932-294-11,black,1,1,17,NA,17,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,39,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-294-11,#ABDDA4,-105.2030833,39.78458333,15 - 20 Deg. F. / 3 - 6,,15 - 20 Deg. F.,6-Mar,15 - 20 Deg. F. / 3 - 6,15 - 20 / semi-humid,CO.4,#698b69,"semi-humid, warm",#ABDDA4,H,NA,NA
ARFR-WY050-49-FREMONT-12,black,1,1,18,NA,18,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,51.5,NA,NA,NA,NA,NA,ARFR4-SOS-WY050-49-FREMONT-12,#5E4FA2,-109.34775,43.42663611,5 - 10 Deg. F. / 6 - 12,,5 - 10 Deg. F.,12-Jun,5 - 10 Deg. F. / 6 - 12,5 - 10 / semi-arid,WY.3,#ffb90f,"semi-arid, cold",#5E4FA2,K,NA,NA
ARFR-CO932-314-JEFFERSON-12,black,1,1,19,NA,19,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,59,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-314-JEFFERSON-12,#FEE08B,-105.3553333,39.40902778,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,CO.2,#66e566,"semi-humid, cool",#FEE08B,E,NA,NA
ARFR-CO932-314-JEFFERSON-12,black,1,1,20,145,20,1,1,0,NA,1,1,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,57.4,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-314-JEFFERSON-12,#FEE08B,-105.3553333,39.40902778,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,CO.2,#66e566,"semi-humid, cool",#FEE08B,E,NA,NA
ARFR-WY050-151-FREMONT-16,black,1,1,21,NA,21,1,1,0,NA,1,1,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,55.6,NA,NA,NA,NA,NA,ARFR4-SOS-WY050-151-FREMONT-16,#3288BD,-108.1704472,42.47886111,10 - 15 Deg. F. / 6 - 12,,10 - 15 Deg. F.,12-Jun,10 - 15 Deg. F. / 6 - 12,10 - 15 / semi-arid,WY.2,#cd8500,"semi-arid, cool",#3288BD,J,NA,NA
