"","sample.id","Population","EV1","EV2","EV3","EV4"
"1","ARFR_31_sorted","CO4",-0.00665052329789663,0.0407700537278871,-0.227358401773418,-0.0981476094712943
"2","ARFR_52_sorted","WY2",0.079120725516428,-0.0500963740454752,-0.00335506873163854,0.148891650661538
"3","ARFR_57_sorted","CO4",0.0905057947513539,0.0262685422964207,-0.019493570940394,-0.0648272704267078
"4","ARFR_64_sorted","WY1",0.0224272668501802,-0.0551133723830441,0.130501525143069,0.203681372180397
"5","ARFR_66_sorted","WY3",0.0625149377360509,-0.10740239958482,0.0358987920665948,0.133575316978759
"6","ARFR_68_sorted","CO1",-0.025640121406577,0.0320878295548721,-0.00301389631883275,-0.0518540919377635
"7","ARFR_92_sorted","CO2",0.0443127506708324,-0.0952628849339803,-0.0641391613861678,-0.00406889020853953
"8","ARFR_129_sorted","CO1",0.0826455325490813,0.072757199135209,0.0667098353309465,-0.103534908730221
"9","ARFR_133_sorted","CO1",0.054081093679025,0.00487835029774489,0.104257307304158,0.0409832086645826
"10","ARFR_137_sorted","UT1",-0.24731003198392,-0.0243069861295814,-0.173377195879321,0.0179640615942932
"11","ARFR_150_sorted","UT1",-0.2450059635122,-0.0590559067720466,0.0449117945094697,-0.0502190628622324
"12","ARFR_178_sorted","AZ1",0.0076790682588833,0.170766791443838,-0.0891353281198847,-0.00355156832422717
"13","ARFR_187_sorted","WY1",0.00476543580499935,-0.0172451689195581,0.0634492942243134,0.0269755987238221
"14","ARFR_209_sorted","UT1",-0.306469705818682,-0.112963392311956,-0.0146752109358182,-0.109067753953202
"15","ARFR_224_sorted","CO1",0.0207628655599126,0.0209501139112126,0.235605170483026,0.0748617127244584
"16","ARFR_226_sorted","CO4",0.0769578754786888,-0.0672982587814013,-0.0318428122658746,-0.121952445259774
"17","ARFR_248_sorted","AZ1",-0.0654902664385075,0.301200765341759,-0.180734769531106,0.247350525490705
"18","ARFR_260_sorted","CO3",0.0792578200422299,-0.0286456932785625,-0.110732879719709,-0.0611757321370731
"19","ARFR_292_sorted","AZ2",-0.0391602414053307,0.197075607794164,0.210227945437555,-0.134794848879077
"20","ARFR_297_sorted","NM1",-0.00300191542814598,0.0689713844280515,0.146773429099005,-0.0495906429801947
"21","ARFR_332_sorted","CO4",0.121728476990086,-0.00585001367046718,-0.128576535829233,0.105839459351598
"22","ARFR_377_sorted","WY1",-0.0176827140724113,-0.0945903990927674,-0.0705101870149746,0.117333726954683
"23","ARFR_381_sorted","CO3",0.0946230890997505,-0.0105154384066855,-0.132889954147669,-0.16305932317
"24","ARFR_436_sorted","CO4",0.0237864611854731,-0.131832213512219,-0.119282326569207,-0.0786571087401765
"25","ARFR_439_sorted","AZ1",-0.0568055059765003,0.242217312508105,-0.244937825137319,0.228809063315442
"26","ARFR_459_sorted","CO3",0.0748988804352384,-0.0258261413865428,-0.155245936208255,-0.1547287301154
"27","ARFR_559_sorted","WY3",0.0670797247800448,-0.101673894368351,0.040670480457284,0.0785427310127243
"28","ARFR_572_sorted","WY3",0.0340648481144228,0.0173287708827509,-0.105615005599433,0.0860509970827928
"29","ARFR_575_sorted","WY1",-0.00289122197431781,-0.0141622318922792,0.210521858827064,0.176262314288115
"30","ARFR_592_sorted","NM1",0.0371800991550362,0.0934426893578098,-0.0205612057761238,0.0417579652673749
"31","ARFR_595_sorted","NM1",0.0187212360700886,0.0601445684792657,0.169631951563177,-0.0089190024567378
"32","ARFR_642_sorted","WY2",0.0774199908741897,-0.028962083113495,-0.0853469324314082,-0.0192782913710799
"33","ARFR_701_sorted","CO1",0.0421530233030711,-0.0184988471979927,-0.0430582555457325,-0.118559999601993
"34","ARFR_717_sorted","WY2",0.103557749670251,-0.115156492807416,0.0246466696379613,0.0596788956769895
"35","ARFR_759_sorted","CO1",0.107977134780571,0.110893118967663,0.0351808705204112,-0.124979932256639
"36","ARFR_791_sorted","CO3",0.0523095395570988,0.00940808575431208,-0.0675389182007717,-0.0295546380631942
"37","ARFR_820_sorted","CO2",0.0417765519707356,-0.054060626824716,-0.0573443978629357,-0.028863965435726
"38","ARFR_838_sorted","CO2",0.013305819180369,0.0840879410634346,0.00937498524870029,0.110113964167499
"39","ARFR_873_sorted","NM1",0.0888802235920252,-0.0924476989449204,0.0437221598862149,0.0962988279023046
"40","ARFR_878_sorted","WY2",0.0455778907750114,-0.000368242585741345,-0.0739491409065604,0.0656633590442139
"41","ARFR_887_sorted","AZ2",-0.0297993214300796,0.241461434535886,0.151051886089943,-0.104172938668013
"42","ARFR_889_sorted","CO3",0.0287001073535856,-0.0887585678019581,-0.0793811361505643,-0.121145919755626
"43","ARFR_1019_sorted","AZ1",-0.0112066918616412,0.260143364110428,-0.0867543654894111,0.167694425499586
"44","ARFR_1081_sorted","WY1",0.00600600047621856,-0.0625493621504746,0.0370062451133852,0.0388711061038693
"45","ARFR_1087_sorted","NM1",0.0244680164140996,0.0615989319275106,0.110022028557174,-0.121670015883901
"46","ARFR_1149_sorted","CO4",0.101355707354785,0.0161285388674003,-0.0389914706804753,-0.252273083291185
"47","ARFR_1153_sorted","CO4",0.139111540583808,0.0533384758088298,-0.18441851895716,-0.167841170357863
"48","ARFR_1168_sorted","NM1",-0.0203997019221009,0.0691304657638362,0.0933912273893659,-0.0685950206346376
"49","ARFR_1181_sorted","UT1",-0.258342561011787,-0.0919101904555789,0.0845795549406935,-0.106768940089593
"50","ARFR_1226_sorted","NM1",-0.0587837811216034,0.0841781208830499,0.132671945784532,-0.0769788445985763
"51","ARFR_1290_sorted","WY2",0.0632597596600214,-0.0805129830004629,0.00575733474957934,0.0370370741810741
"52","ARFR_1329_sorted","CO2",0.0873211298399015,-0.0709851890803867,-0.0845148907371981,0.0195668969123316
"53","ARFR_1374_sorted","CO3",0.0313796237679399,-0.0118476348262784,-0.071015569472503,-0.158440198896732
"54","ARFR_1420_sorted","AZ2",-0.0620411490881911,0.144283512727059,0.131390542227763,-0.0440501485544222
"55","ARFR_1432_sorted","AZ2",-0.0213888761346975,0.112753182730129,-0.11820085174831,0.13122118584669
"56","ARFR_1451_sorted","NM1",0.0099415360180185,0.0442115297474525,0.127939538975137,-0.119128390106416
"57","ARFR_1468_sorted","CO4",0.0338774628632177,0.010020754876811,-0.0623434511090623,-0.193958363744201
"58","ARFR_1490_sorted","NM1",0.0693829196038263,0.119470858661579,0.128846245433676,-0.121773125452854
"59","ARFR_1515_sorted","CO2",0.0510399191741954,-0.0447653620214782,-0.0359355372522738,-0.0104388298766766
"60","ARFR_1537_sorted","CO2",0.00679706514453346,-0.0330924662095378,0.0605042107054772,-0.147419315235858
"61","ARFR_1579_sorted","CO3",0.000819588035221635,-0.0597863751731497,-0.0703286668183934,-0.130258586788211
"62","ARFR_1580_sorted","UT1",-0.352962470885565,-0.125665280578015,-0.0784025407356649,-0.041811745953425
"63","ARFR_1592_sorted","AZ2",-0.110055317066958,0.0826132098748906,0.061624671478864,0.0431815695876924
"64","ARFR_1595_sorted","AZ2",-0.045384905340818,0.192208186264977,0.157884605059562,-0.112116496937787
"65","ARFR_1612_sorted","WY3",0.0643980019050537,-0.0788190204356284,0.0922239039104745,0.055011656332902
"66","ARFR_1619_sorted","AZ2",-0.0638489087033379,0.0494913331574957,0.0671843003749023,-0.0695546113854694
"67","ARFR_1632_sorted","CO1",0.0725656557999287,-0.0796636410954373,0.076818168974433,-0.038802875162095
"68","ARFR_1641_sorted","WY3",0.0678620990965532,-0.235609326110708,-0.00570925228189327,0.0806593154748627
"69","ARFR_1654_sorted","WY2",0.0390025089395838,-0.0425490890113071,-0.0119149158749041,-0.0535346740412128
"70","ARFR_1666_sorted","WY2",0.0423592014370723,-0.0658918914747664,-0.0331242231536796,0.152280730172523
"71","ARFR_1731_sorted","UT1",-0.377904404341318,-0.147071243043451,-0.161028831401168,-0.00699062786991273
"72","ARFR_1809_sorted","WY3",0.0499374101052693,-0.199389433023487,0.122308493350796,0.0352598407895402
"73","ARFR_1821_sorted","AZ1",-0.0698122668599085,0.233756971589987,-0.0175649700400815,0.158769596919312
"74","ARFR_1958_sorted","WY2",0.112868572262717,-0.0428486005192251,0.0719209745501854,0.0277886358826904
"75","ARFR_1966_sorted","CO2",0.0431569156814337,-0.0840092865092701,-0.0985042755817473,0.0293998299638655
"76","ARFR_1978_sorted","AZ1",-0.044251370292963,0.2138721462694,-0.056180576299986,0.0593491590307996
"77","ARFR_1991_sorted","CO3",0.0129501029770262,-0.0253146805234935,-0.176925795506638,-0.0208909313429466
"78","ARFR_1995_sorted","CO2",0.0803390713140499,-0.000852527460764395,-0.0312616386322234,-0.0550630466956959
"79","ARFR_2009_sorted","WY3",0.0454479327286957,-0.179283659452757,-0.0322812544446677,0.130768356353787
"80","ARFR_2019_sorted","UT1",-0.403419265071757,-0.101134340326246,0.121559063275486,-0.00243883110202905
"81","ARFR_2048_sorted","WY3",0.0573119344371284,-0.125498037070905,0.20784961024162,0.166745534966077
"82","ARFR_2058_sorted","WY1",-0.00223529024549989,-0.013998634852351,0.138646532786789,0.139182261910178
"83","ARFR_2070_sorted","WY1",-0.0989841049136094,-0.0399403916708449,-0.0195685822831787,0.060347508956547
"84","ARFR_2113_sorted","UT1",0.0740677463817104,-0.0529985762335085,0.0433086128011198,0.0503827106755554
"85","ARFR_2138_sorted","WY2",0.0210341813741549,-0.0753937167101611,0.00873522842988339,0.120481779654298
"86","ARFR_2146_sorted","WY1",0.000773174942488811,-0.0713031453823777,0.0623712935447436,0.0870872199831779
"87","ARFR_25_rep_sorted","AZ1",-0.0606781944970411,0.100867270406807,-0.0906140570015653,0.0737814025269394
